possession,game_id,possession_team,length,start_x,start_y,end_x,end_y,period_id,start_time_seconds,end_time_seconds
88,3942819,England,14,101.89375,34.5525,0.04374999999998863,15.087499999999999,2,1426.247,1454.778
89,3942819,Netherlands,57,3.10625,41.0975,59.71875,21.802499999999995,2,1487.861,1565.506
90,3942819,Netherlands,13,59.71875,22.567499999999995,75.38125000000001,65.7475,2,1597.571,1616.24
91,3942819,England,2,74.06875,49.4275,63.30625000000001,50.1925,2,1618.252,1620.395
92,3942819,England,34,67.33125,57.8425,19.99374999999999,65.3225,2,1634.984,1687.383
93,3942819,Netherlands,11,3.63125,41.947500000000005,25.856250000000003,3.3575000000000017,2,1716.973,1737.663
94,3942819,Netherlands,93,32.41875,0.04250000000000398,104.25625,33.8725,2,1766.128,1919.87
95,3942819,England,8,95.76875,31.917500000000004,68.73124999999999,9.137500000000003,2,1942.967,1949.396
96,3942819,England,35,60.50625,0.04250000000000398,1.8812499999999943,51.6375,2,1969.946,2026.354
97,3942819,Netherlands,14,8.96875,48.917500000000004,66.45625,16.447499999999998,2,2120.161,2138.963
98,3942819,England,51,66.45625,16.447499999999998,35.65625,22.822499999999998,2,2140.921,2227.897
99,3942819,Netherlands,52,35.65625,22.822499999999998,95.76875,37.272499999999994,2,2228.622,2290.436
100,3942819,England,20,95.76875,41.182500000000005,12.293750000000003,23.8425,2,2307.937,2340.71
101,3942819,Netherlands,5,12.29375,23.8425,29.006250000000005,7.267499999999998,2,2343.667,2352.275
102,3942819,England,3,29.006249999999994,7.267499999999998,36.706250000000004,1.8274999999999864,2,2352.342,2354.037
103,3942819,England,7,37.056250000000006,5.9925,18.24374999999999,17.722499999999997,2,2378.298,2387.215
104,3942819,Netherlands,8,18.24375,17.72249999999999,79.14375,50.70250000000001,2,2387.967,2400.133
105,3942819,Netherlands,2,75.03125,51.2125,98.91875,30.9825,2,2462.108,2463.808
106,3942819,England,28,98.91875,30.9825,0.04374999999998863,24.947499999999998,2,2510.304,2568.009
107,3942819,Netherlands,2,5.20625,28.262500000000003,80.63125000000001,20.442499999999995,2,2613.415,2617.287
108,3942819,England,2,80.63125,20.442500000000003,78.79374999999999,17.8925,2,2618.033,2619.492
109,3942819,England,32,73.80624999999999,20.8675,0.04374999999998863,31.152500000000003,2,2639.974,2700.296
110,3942819,Netherlands,19,52.456250000000004,34.0425,49.74375,19.932499999999997,2,2884.769,2912.184
